"plot","event","year","doy","date","genus","species","value"
"RM","pfd",1980,178,"1980-06-26","Amelanchier","pumila",429
"RM","pfd",1981,163,"1981-06-12","Amelanchier","pumila",182
"RM","pfd",1982,179,"1982-06-28","Amelanchier","pumila",73
"RM","pfd",1983,186,"1983-07-05","Amelanchier","pumila",262
"RM","pfd",1984,188,"1984-07-06","Amelanchier","pumila",19
"RM","pfd",1985,172,"1985-06-21","Amelanchier","pumila",78
"RM","pfd",1986,173,"1986-06-22","Amelanchier","pumila",68
"RM","pfd",1987,169,"1987-06-18","Amelanchier","pumila",54
"RM","pfd",1988,175,"1988-06-23","Amelanchier","pumila",133
"RM","pfd",1989,167,"1989-06-16","Amelanchier","pumila",62
"RM","pfd",1991,173,"1991-06-22","Amelanchier","pumila",64
"RM","pfd",1992,176,"1992-06-24","Amelanchier","pumila",62
"RM","pfd",1993,180,"1993-06-29","Amelanchier","pumila",23
"RM","pfd",1994,168,"1994-06-17","Amelanchier","pumila",86
"RM","pfd",1995,193,"1995-07-12","Amelanchier","pumila",101
"RM","pfd",1996,168,"1996-06-16","Amelanchier","pumila",17
"RM","pfd",1997,176,"1997-06-25","Amelanchier","pumila",180
"RM","pfd",1998,173,"1998-06-22","Amelanchier","pumila",62
"RM","pfd",1999,174,"1999-06-23","Amelanchier","pumila",25
"RM","pfd",2000,156,"2000-06-04","Amelanchier","pumila",87
"RM","pfd",2001,159,"2001-06-08","Amelanchier","pumila",37
"RM","pfd",2002,152,"2002-06-01","Amelanchier","pumila",26
"RM","pfd",2003,160,"2003-06-09","Amelanchier","pumila",54
"RM","pfd",2004,156,"2004-06-04","Amelanchier","pumila",14
"RM","pfd",2005,178,"2005-06-27","Amelanchier","pumila",5
"RM","pfd",2006,154,"2006-06-03","Amelanchier","pumila",9
"RM","pfd",2007,155,"2007-06-04","Amelanchier","pumila",9
"RM","pfd",2008,180,"2008-06-28","Amelanchier","pumila",27
"RM","pfd",2009,164,"2009-06-13","Amelanchier","pumila",3
"RM","pfd",1973,216,"1973-08-04","Amerosedum","lanceolatum",27
"RM","pfd",1974,193,"1974-07-12","Amerosedum","lanceolatum",20
"RM","pfd",1975,220,"1975-08-08","Amerosedum","lanceolatum",5
"RM","pfd",1976,197,"1976-07-15","Amerosedum","lanceolatum",7
"RM","pfd",1977,191,"1977-07-10","Amerosedum","lanceolatum",7
"RM","pfd",1981,199,"1981-07-18","Amerosedum","lanceolatum",6
"RM","pfd",1982,210,"1982-07-29","Amerosedum","lanceolatum",90
"RM","pfd",1983,214,"1983-08-02","Amerosedum","lanceolatum",17
"RM","pfd",1985,204,"1985-07-23","Amerosedum","lanceolatum",5
"RM","pfd",1986,203,"1986-07-22","Amerosedum","lanceolatum",9
"RM","pfd",1987,197,"1987-07-16","Amerosedum","lanceolatum",12
"RM","pfd",1988,201,"1988-07-19","Amerosedum","lanceolatum",19
"RM","pfd",1989,192,"1989-07-11","Amerosedum","lanceolatum",26
"RM","pfd",1991,200,"1991-07-19","Amerosedum","lanceolatum",85
"RM","pfd",1992,202,"1992-07-20","Amerosedum","lanceolatum",34
"RM","pfd",1993,207,"1993-07-26","Amerosedum","lanceolatum",30
"RM","pfd",1994,191,"1994-07-10","Amerosedum","lanceolatum",5
"RM","pfd",1995,225,"1995-08-13","Amerosedum","lanceolatum",33
"RM","pfd",1996,201,"1996-07-19","Amerosedum","lanceolatum",34
"RM","pfd",1997,200,"1997-07-19","Amerosedum","lanceolatum",43
"RM","pfd",1998,199,"1998-07-18","Amerosedum","lanceolatum",41
"RM","pfd",1999,214,"1999-08-02","Amerosedum","lanceolatum",25
"RM","pfd",2000,194,"2000-07-12","Amerosedum","lanceolatum",84
"RM","pfd",2001,189,"2001-07-08","Amerosedum","lanceolatum",22
"RM","pfd",2002,174,"2002-06-23","Amerosedum","lanceolatum",1
"RM","pfd",2004,192,"2004-07-10","Amerosedum","lanceolatum",20
"RM","pfd",2005,200,"2005-07-19","Amerosedum","lanceolatum",37
"RM","pfd",2006,184,"2006-07-03","Amerosedum","lanceolatum",25
"RM","pfd",2007,186,"2007-07-05","Amerosedum","lanceolatum",11
"RM","pfd",2008,198,"2008-07-16","Amerosedum","lanceolatum",5
"RM","pfd",2009,200,"2009-07-19","Amerosedum","lanceolatum",7
"RM","pfd",1973,182,"1973-07-01","Androsace","septentrionalis",16
"IN","pfd",1974,163,"1974-06-12","Androsace","septentrionalis",25
"RM","pfd",1974,163,"1974-06-12","Androsace","septentrionalis",443
"VR","pfd",1974,171,"1974-06-20","Androsace","septentrionalis",66
"WM","pfd",1974,167,"1974-06-16","Androsace","septentrionalis",170
"WM","pfd",1975,188,"1975-07-07","Androsace","septentrionalis",107
"IN","pfd",1976,159,"1976-06-07","Androsace","septentrionalis",2
"RM","pfd",1976,161,"1976-06-09","Androsace","septentrionalis",27
"VR","pfd",1976,177,"1976-06-25","Androsace","septentrionalis",1
"WM","pfd",1976,169,"1976-06-17","Androsace","septentrionalis",50
"IN","pfd",1977,156,"1977-06-05","Androsace","septentrionalis",30
"RM","pfd",1977,160,"1977-06-09","Androsace","septentrionalis",47
"VR","pfd",1977,160,"1977-06-09","Androsace","septentrionalis",11
"WM","pfd",1977,160,"1977-06-09","Androsace","septentrionalis",180
"WM","pfd",1979,200,"1979-07-19","Androsace","septentrionalis",6
"EM","pfd",1982,181,"1982-06-30","Androsace","septentrionalis",1
"IN","pfd",1982,171,"1982-06-20","Androsace","septentrionalis",37
"RM","pfd",1982,164,"1982-06-13","Androsace","septentrionalis",7
"VR","pfd",1982,171,"1982-06-20","Androsace","septentrionalis",5
"WM","pfd",1982,173,"1982-06-22","Androsace","septentrionalis",97
"EM","pfd",1983,184,"1983-07-03","Androsace","septentrionalis",8
"IN","pfd",1983,178,"1983-06-27","Androsace","septentrionalis",66
"RM","pfd",1983,191,"1983-07-10","Androsace","septentrionalis",112
"VR","pfd",1983,188,"1983-07-07","Androsace","septentrionalis",9
"WM","pfd",1983,184,"1983-07-03","Androsace","septentrionalis",536
"IN","pfd",1984,177,"1984-06-25","Androsace","septentrionalis",17
"RM","pfd",1984,179,"1984-06-27","Androsace","septentrionalis",145
"WM","pfd",1984,177,"1984-06-25","Androsace","septentrionalis",126
"GH","pfd",1985,162,"1985-06-11","Androsace","septentrionalis",281
"IN","pfd",1985,162,"1985-06-11","Androsace","septentrionalis",11
"RM","pfd",1985,162,"1985-06-11","Androsace","septentrionalis",382
"WM","pfd",1985,168,"1985-06-17","Androsace","septentrionalis",346
"EM","pfd",1986,196,"1986-07-15","Androsace","septentrionalis",5
"GH","pfd",1986,167,"1986-06-16","Androsace","septentrionalis",266
"IN","pfd",1986,179,"1986-06-28","Androsace","septentrionalis",31
"RM","pfd",1986,163,"1986-06-12","Androsace","septentrionalis",324
"WM","pfd",1986,169,"1986-06-18","Androsace","septentrionalis",530
"EM","pfd",1987,169,"1987-06-18","Androsace","septentrionalis",31
"GH","pfd",1987,167,"1987-06-16","Androsace","septentrionalis",73
"IN","pfd",1987,159,"1987-06-08","Androsace","septentrionalis",18
"RM","pfd",1987,161,"1987-06-10","Androsace","septentrionalis",757
"VR","pfd",1987,175,"1987-06-24","Androsace","septentrionalis",1
"WM","pfd",1987,169,"1987-06-18","Androsace","septentrionalis",154
"GH","pfd",1988,196,"1988-07-14","Androsace","septentrionalis",14
"IN","pfd",1988,173,"1988-06-21","Androsace","septentrionalis",3
"RM","pfd",1988,158,"1988-06-06","Androsace","septentrionalis",33
"WM","pfd",1988,183,"1988-07-01","Androsace","septentrionalis",23
"EM","pfd",1989,158,"1989-06-07","Androsace","septentrionalis",3
"GH","pfd",1989,153,"1989-06-02","Androsace","septentrionalis",29
"RM","pfd",1989,161,"1989-06-10","Androsace","septentrionalis",108
"WM","pfd",1989,153,"1989-06-02","Androsace","septentrionalis",10
"GH","pfd",1991,168,"1991-06-17","Androsace","septentrionalis",125
"IN","pfd",1991,168,"1991-06-17","Androsace","septentrionalis",18
"RM","pfd",1991,173,"1991-06-22","Androsace","septentrionalis",253
"VR","pfd",1991,164,"1991-06-13","Androsace","septentrionalis",2
"WM","pfd",1991,170,"1991-06-19","Androsace","septentrionalis",254
"GH","pfd",1992,157,"1992-06-05","Androsace","septentrionalis",28
"IN","pfd",1992,147,"1992-05-26","Androsace","septentrionalis",6
"RM","pfd",1992,161,"1992-06-09","Androsace","septentrionalis",145
"VR","pfd",1992,153,"1992-06-01","Androsace","septentrionalis",2
"WM","pfd",1992,239,"1992-08-26","Androsace","septentrionalis",86
"GH","pfd",1993,174,"1993-06-23","Androsace","septentrionalis",138
"IN","pfd",1993,174,"1993-06-23","Androsace","septentrionalis",2
"RM","pfd",1993,174,"1993-06-23","Androsace","septentrionalis",396
"WM","pfd",1993,174,"1993-06-23","Androsace","septentrionalis",154
"GH","pfd",1994,161,"1994-06-10","Androsace","septentrionalis",286
"RM","pfd",1994,163,"1994-06-12","Androsace","septentrionalis",47
"WM","pfd",1994,161,"1994-06-10","Androsace","septentrionalis",526
"EM","pfd",1995,203,"1995-07-22","Androsace","septentrionalis",3
"GH","pfd",1995,201,"1995-07-20","Androsace","septentrionalis",16
"RM","pfd",1995,199,"1995-07-18","Androsace","septentrionalis",37
"WM","pfd",1995,201,"1995-07-20","Androsace","septentrionalis",28
"GH","pfd",1996,180,"1996-06-28","Androsace","septentrionalis",33
"RM","pfd",1996,154,"1996-06-02","Androsace","septentrionalis",180
"WM","pfd",1996,176,"1996-06-24","Androsace","septentrionalis",37
"GH","pfd",1997,174,"1997-06-23","Androsace","septentrionalis",32
"IN","pfd",1997,178,"1997-06-27","Androsace","septentrionalis",3
"RM","pfd",1997,168,"1997-06-17","Androsace","septentrionalis",5
"VR","pfd",1997,170,"1997-06-19","Androsace","septentrionalis",3
"WM","pfd",1997,180,"1997-06-29","Androsace","septentrionalis",91
"GH","pfd",1998,189,"1998-07-08","Androsace","septentrionalis",88
"IN","pfd",1998,159,"1998-06-08","Androsace","septentrionalis",3
"RM","pfd",1998,171,"1998-06-20","Androsace","septentrionalis",71
"WM","pfd",1998,161,"1998-06-10","Androsace","septentrionalis",121
"EM","pfd",1999,167,"1999-06-16","Androsace","septentrionalis",2
"GH","pfd",1999,172,"1999-06-21","Androsace","septentrionalis",461
"IN","pfd",1999,174,"1999-06-23","Androsace","septentrionalis",10
"RM","pfd",1999,174,"1999-06-23","Androsace","septentrionalis",636
"WM","pfd",1999,174,"1999-06-23","Androsace","septentrionalis",97
"EM","pfd",2000,154,"2000-06-02","Androsace","septentrionalis",7
"GH","pfd",2000,154,"2000-06-02","Androsace","septentrionalis",400
"IN","pfd",2000,152,"2000-05-31","Androsace","septentrionalis",45
"RM","pfd",2000,152,"2000-05-31","Androsace","septentrionalis",1187
"VR","pfd",2000,156,"2000-06-04","Androsace","septentrionalis",2
"WM","pfd",2000,156,"2000-06-04","Androsace","septentrionalis",54
"EM","pfd",2001,153,"2001-06-02","Androsace","septentrionalis",3
"GH","pfd",2001,155,"2001-06-04","Androsace","septentrionalis",207
"IN","pfd",2001,168,"2001-06-17","Androsace","septentrionalis",47
"RM","pfd",2001,155,"2001-06-04","Androsace","septentrionalis",153
"WM","pfd",2001,153,"2001-06-02","Androsace","septentrionalis",184
"GH","pfd",2002,140,"2002-05-20","Androsace","septentrionalis",119
"IN","pfd",2002,140,"2002-05-20","Androsace","septentrionalis",23
"RM","pfd",2002,146,"2002-05-26","Androsace","septentrionalis",41
"WM","pfd",2002,140,"2002-05-20","Androsace","septentrionalis",27
"GH","pfd",2003,174,"2003-06-23","Androsace","septentrionalis",12
"IN","pfd",2003,176,"2003-06-25","Androsace","septentrionalis",7
"WM","pfd",2003,168,"2003-06-17","Androsace","septentrionalis",26
"GH","pfd",2004,152,"2004-05-31","Androsace","septentrionalis",4
"IN","pfd",2004,156,"2004-06-04","Androsace","septentrionalis",10
"RM","pfd",2004,145,"2004-05-24","Androsace","septentrionalis",10
"WM","pfd",2004,160,"2004-06-08","Androsace","septentrionalis",31
"GH","pfd",2005,174,"2005-06-23","Androsace","septentrionalis",137
"IN","pfd",2005,170,"2005-06-19","Androsace","septentrionalis",3
"RM","pfd",2005,172,"2005-06-21","Androsace","septentrionalis",23
"WM","pfd",2005,174,"2005-06-23","Androsace","septentrionalis",71
"GH","pfd",2006,148,"2006-05-28","Androsace","septentrionalis",58
"IN","pfd",2006,152,"2006-06-01","Androsace","septentrionalis",19
"RM","pfd",2006,162,"2006-06-11","Androsace","septentrionalis",126
"WM","pfd",2006,164,"2006-06-13","Androsace","septentrionalis",18
"GH","pfd",2007,155,"2007-06-04","Androsace","septentrionalis",303
"IN","pfd",2007,157,"2007-06-06","Androsace","septentrionalis",23
"MD","pfd",2007,164,"2007-06-13","Androsace","septentrionalis",2
"RM","pfd",2007,155,"2007-06-04","Androsace","septentrionalis",998
"VR","pfd",2007,145,"2007-05-25","Androsace","septentrionalis",2
"WM","pfd",2007,157,"2007-06-06","Androsace","septentrionalis",156
"GH","pfd",2008,184,"2008-07-02","Androsace","septentrionalis",249
"IN","pfd",2008,188,"2008-07-06","Androsace","septentrionalis",28
"MD","pfd",2008,176,"2008-06-24","Androsace","septentrionalis",9
"RM","pfd",2008,174,"2008-06-22","Androsace","septentrionalis",134
"WM","pfd",2008,184,"2008-07-02","Androsace","septentrionalis",420
"EM","pfd",2009,174,"2009-06-23","Androsace","septentrionalis",1
"GH","pfd",2009,184,"2009-07-03","Androsace","septentrionalis",107
"IN","pfd",2009,174,"2009-06-23","Androsace","septentrionalis",4
"MD","pfd",2009,154,"2009-06-03","Androsace","septentrionalis",13
"RM","pfd",2009,148,"2009-05-28","Androsace","septentrionalis",109
"WM","pfd",2009,186,"2009-07-05","Androsace","septentrionalis",271
"RM","pfd",2009,174,"2009-06-23","Antennaria","pulcherrima",16
"RM","pfd",1973,216,"1973-08-04","Aquilegia","coerulea",3
"RM","pfd",1974,193,"1974-07-12","Aquilegia","coerulea",4
"RM","pfd",1975,207,"1975-07-26","Aquilegia","coerulea",4
"RM","pfd",1977,181,"1977-06-30","Aquilegia","coerulea",4
"RM","pfd",1979,198,"1979-07-17","Aquilegia","coerulea",2
"RM","pfd",1982,202,"1982-07-21","Aquilegia","coerulea",4
"RM","pfd",1983,201,"1983-07-20","Aquilegia","coerulea",2
"RM","pfd",1984,202,"1984-07-20","Aquilegia","coerulea",2
"RM","pfd",1985,190,"1985-07-09","Aquilegia","coerulea",7
"RM","pfd",1986,199,"1986-07-18","Aquilegia","coerulea",6
"RM","pfd",1987,191,"1987-07-10","Aquilegia","coerulea",4
"RM","pfd",1988,185,"1988-07-03","Aquilegia","coerulea",2
"RM","pfd",1989,184,"1989-07-03","Aquilegia","coerulea",5
"RM","pfd",1991,198,"1991-07-17","Aquilegia","coerulea",5
"RM","pfd",1992,191,"1992-07-09","Aquilegia","coerulea",2
"RM","pfd",1993,203,"1993-07-22","Aquilegia","coerulea",2
"RM","pfd",1994,176,"1994-06-25","Aquilegia","coerulea",4
"RM","pfd",1995,217,"1995-08-05","Aquilegia","coerulea",2
"RM","pfd",1996,191,"1996-07-09","Aquilegia","coerulea",1
"RM","pfd",1997,190,"1997-07-09","Aquilegia","coerulea",6
"RM","pfd",1999,196,"1999-07-15","Aquilegia","coerulea",7
"RM","pfd",2002,180,"2002-06-29","Aquilegia","coerulea",2
"RM","pfd",2003,196,"2003-07-15","Aquilegia","coerulea",2
"RM","pfd",2005,195,"2005-07-14","Aquilegia","coerulea",5
"RM","pfd",2006,178,"2006-06-27","Aquilegia","coerulea",3
"MD","pfd",2007,192,"2007-07-11","Aquilegia","coerulea",3
"RM","pfd",2008,196,"2008-07-14","Aquilegia","coerulea",3
"RM","pfd",2009,194,"2009-07-13","Aquilegia","coerulea",1
"RM","pfd",1973,178,"1973-06-27","Arabis","drummondii",5
"EM","pfd",1974,175,"1974-06-24","Arabis","drummondii",10
"RM","pfd",1974,171,"1974-06-20","Arabis","drummondii",3
"VR","pfd",1974,175,"1974-06-24","Arabis","drummondii",28
"WM","pfd",1974,179,"1974-06-28","Arabis","drummondii",8
"RM","pfd",1975,183,"1975-07-02","Arabis","drummondii",2
